Año;Tipo territorio;Código territorio;Territorio;Edad;Nacionalidad;Sexo;Valor;Estado dato
2021;Municipios;1338;San Martín de Valdeiglesias;Total;Total;Total;8726;
2021;Municipios;1343;San Sebastián de los Reyes;Total;Total;Total;90958;
2021;Municipios;1356;Santa María de la Alameda;Total;Total;Total;1420;
2021;Municipios;1369;Santorcaz;Total;Total;Total;924;
2021;Municipios;1375;Santos de la Humosa (Los);Total;Total;Total;2742;
2021;Municipios;1381;Serna del Monte (La);Total;Total;Total;95;
2021;Municipios;1408;Serranillos del Valle;Total;Total;Total;4436;
2021;Municipios;1415;Sevilla la Nueva;Total;Total;Total;9387;
2021;Municipios;1436;Somosierra;Total;Total;Total;87;
2021;Municipios;1441;Soto del Real;Total;Total;Total;9075;
2021;Municipios;1454;Talamanca de Jarama;Total;Total;Total;4114;
2021;Municipios;1467;Tielmes;Total;Total;Total;2768;
2021;Municipios;1473;Titulcia;Total;Total;Total;1367;
2021;Municipios;1489;Torrejón de Ardoz;Total;Total;Total;133377;
2021;Municipios;1492;Torrejón de la Calzada;Total;Total;Total;9537;
2021;Municipios;1505;Torrejón de Velasco;Total;Total;Total;4586;
2021;Municipios;1512;Torrelaguna;Total;Total;Total;4902;
2021;Municipios;1527;Torrelodones;Total;Total;Total;24057;
2021;Municipios;1533;Torremocha de Jarama;Total;Total;Total;1065;
2021;Municipios;1548;Torres de la Alameda;Total;Total;Total;7707;
2021;Municipios;9036;Tres Cantos;Total;Total;Total;48726;
2021;Municipios;1551;Valdaracete;Total;Total;Total;614;
2021;Municipios;1564;Valdeavero;Total;Total;Total;1670;
2021;Municipios;1570;Valdelaguna;Total;Total;Total;1023;
2021;Municipios;1586;Valdemanco;Total;Total;Total;1022;
2021;Municipios;1599;Valdemaqueda;Total;Total;Total;792;
2021;Municipios;1603;Valdemorillo;Total;Total;Total;13254;
2021;Municipios;1610;Valdemoro;Total;Total;Total;77931;
2021;Municipios;1625;Valdeolmos-Alalpardo;Total;Total;Total;4306;
2021;Municipios;1631;Valdepiélagos;Total;Total;Total;619;
2021;Municipios;1646;Valdetorres de Jarama;Total;Total;Total;4705;
2021;Municipios;1659;Valdilecha;Total;Total;Total;3065;
2021;Municipios;1662;Valverde de Alcalá;Total;Total;Total;515;
2021;Municipios;1678;Velilla de San Antonio;Total;Total;Total;12542;
2021;Municipios;1684;Vellón (El);Total;Total;Total;2086;
2021;Municipios;1697;Venturada;Total;Total;Total;2392;
2021;Municipios;1718;Villa del Prado;Total;Total;Total;6775;
2021;Municipios;1701;Villaconejos;Total;Total;Total;3438;
2021;Municipios;1723;Villalbilla;Total;Total;Total;15046;
2021;Municipios;1739;Villamanrique de Tajo;Total;Total;Total;768;
2021;Municipios;1744;Villamanta;Total;Total;Total;2648;
2021;Municipios;1757;Villamantilla;Total;Total;Total;1515;
2021;Municipios;1760;Villanueva de la Cañada;Total;Total;Total;22453;
2021;Municipios;1782;Villanueva de Perales;Total;Total;Total;1608;
2021;Municipios;1776;Villanueva del Pardillo;Total;Total;Total;17266;
2021;Municipios;1795;Villar del Olmo;Total;Total;Total;2192;
2021;Municipios;1809;Villarejo de Salvanés;Total;Total;Total;7546;
2021;Municipios;1816;Villaviciosa de Odón;Total;Total;Total;28016;
2021;Municipios;1821;Villavieja del Lozoya;Total;Total;Total;280;
2021;Municipios;1837;Zarzalejo;Total;Total;Total;1771;
2021;Zonas Estadísticas;03;Este Metropolitano;Total;Total;Total;666509;
2021;Zonas Estadísticas;01;Municipio de Madrid;Total;Total;Total;3277451;
2021;Zonas Estadísticas;07;Nordeste Comunidad;Total;Total;Total;67886;
2021;Zonas Estadísticas;02;Norte Metropolitano;Total;Total;Total;350798;
2021;Zonas Estadísticas;05;Oeste Metropolitano;Total;Total;Total;506391;
2021;Zonas Estadísticas;11;Sierra Central;Total;Total;Total;181887;
2021;Zonas Estadísticas;06;Sierra Norte;Total;Total;Total;44743;
2021;Zonas Estadísticas;10;Sierra Sur;Total;Total;Total;37766;
2021;Zonas Estadísticas;08;Sudeste Comunidad;Total;Total;Total;111268;
2021;Zonas Estadísticas;09;Sudoeste Comunidad;Total;Total;Total;149758;
2021;Zonas Estadísticas;04;Sur Metropolitano;Total;Total;Total;1332183;
2022;Comunidad de Madrid;;Comunidad de Madrid;Total;Total;Total;6743254;
2022;Municipios;0014;Acebeda (La);Total;Total;Total;62;
2022;Municipios;0029;Ajalvir;Total;Total;Total;4825;
2022;Municipios;0035;Alameda del Valle;Total;Total;Total;242;
2022;Municipios;0040;Álamo (El);Total;Total;Total;10100;
2022;Municipios;0053;Alcalá de Henares;Total;Total;Total;196008;
2022;Municipios;0066;Alcobendas;Total;Total;Total;116935;
2022;Municipios;0072;Alcorcón;Total;Total;Total;171435;
2022;Municipios;0088;Aldea del Fresno;Total;Total;Total;3231;
2022;Municipios;0091;Algete;Total;Total;Total;20704;
2022;Municipios;0105;Alpedrete;Total;Total;Total;15185;
2022;Municipios;0112;Ambite;Total;Total;Total;660;
2022;Municipios;0127;Anchuelo;Total;Total;Total;1357;
2022;Municipios;0133;Aranjuez;Total;Total;Total;60138;
2022;Municipios;0148;Arganda del Rey;Total;Total;Total;57324;
2022;Municipios;0151;Arroyomolinos;Total;Total;Total;34952;
2022;Municipios;0164;Atazar (El);Total;Total;Total;107;
2022;Municipios;0170;Batres;Total;Total;Total;1838;
2022;Municipios;0186;Becerril de la Sierra;Total;Total;Total;6184;
2022;Municipios;0199;Belmonte de Tajo;Total;Total;Total;1776;
2022;Municipios;0210;Berrueco (El);Total;Total;Total;815;
2022;Municipios;0203;Berzosa del Lozoya;Total;Total;Total;227;
2022;Municipios;0225;Boadilla del Monte;Total;Total;Total;62625;
2022;Municipios;0231;Boalo (El);Total;Total;Total;8224;
2022;Municipios;0246;Braojos;Total;Total;Total;218;
2022;Municipios;0259;Brea de Tajo;Total;Total;Total;543;
2022;Municipios;0262;Brunete;Total;Total;Total;10812;
2022;Municipios;0278;Buitrago del Lozoya;Total;Total;Total;1952;
