year,date,territory,unemp_rate,unemp_rate_yoy,unemp_rate_pp
2023,2023-01-01,municipios,-84,170.96774193548384,-53.0
2023,2023-01-01,municipios,-34,-59.523809523809526,50.0
2023,2023-01-01,municipios,-112,229.41176470588235,-78.0
2023,2023-01-01,municipios,-56,-50.0,56.0
2023,2023-01-01,municipios,-25,-55.35714285714286,31.0
2023,2023-01-01,municipios,-89,256.0,-64.0
2023,2023-01-01,municipios,-65,-26.96629213483146,24.0
2024,2024-01-01,municipios,-601,824.6153846153845,-536.0
2024,2024-01-01,municipios,47,-107.82029950083194,648.0
2024,2024-01-01,municipios,-38,-180.85106382978725,-85.0
2024,2024-01-01,municipios,8,-121.05263157894737,46.0
2024,2024-01-01,municipios,29,262.5,21.0
2024,2024-01-01,municipios,12,-58.62068965517242,-17.0
2024,2024-01-01,municipios,23,91.66666666666667,11.0
2024,2024-01-01,municipios,61,165.2173913043478,38.0
2024,2024-01-01,municipios,9,-85.24590163934427,-52.0
2024,2024-01-01,municipios,3,-66.66666666666667,-6.0
2024,2024-01-01,municipios,-173,-5866.666666666666,-176.0
2024,2024-01-01,municipios,89,-151.4450867052023,262.0
2024,2024-01-01,municipios,55,-38.20224719101124,-34.0
2024,2024-01-01,municipios,25,-54.54545454545454,-30.0
2024,2024-01-01,municipios,14,-43.99999999999999,-11.0
2024,2024-01-01,municipios,-689,-5021.428571428572,-703.0
2024,2024-01-01,municipios,72,-110.4499274310595,761.0
2024,2024-01-01,municipios,15,-79.16666666666666,-57.0
2024,2024-01-01,municipios,39,160.0,24.0
2024,2024-01-01,municipios,115,194.8717948717949,76.0
2024,2024-01-01,municipios,2,-98.26086956521739,-113.0
2024,2024-01-01,municipios,12,500.0,10.0
2024,2024-01-01,municipios,7,-41.666666666666664,-5.0
2024,2024-01-01,municipios,-10,-242.8571428571429,-17.0
2024,2024-01-01,municipios,-152,1420.0,-142.0
2024,2024-01-01,municipios,23,-115.13157894736842,175.0
2024,2024-01-01,municipios,14,-39.13043478260869,-9.0
2024,2024-01-01,municipios,38,171.42857142857144,24.0
2024,2024-01-01,municipios,31,-18.42105263157895,-7.0
2024,2024-01-01,municipios,63,103.2258064516129,32.0
2024,2024-01-01,municipios,13,-79.36507936507937,-50.0
2024,2024-01-01,municipios,24,84.61538461538463,11.0
2024,2024-01-01,municipios,4,-83.33333333333334,-20.0
2024,2024-01-01,municipios,12,200.0,8.0
2024,2024-01-01,municipios,8,-33.333333333333336,-4.0
2024,2024-01-01,municipios,31,287.5,23.0
2024,2024-01-01,municipios,9,-70.96774193548387,-22.0
