year,date,territory_type,territory,sex,nationality,age_group,age_min,age_max,population
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,extranjera,De 0-4 años,,,21859
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,extranjera,De 10-14 años,,,18602
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,extranjera,De 100 y más años,,,22
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,extranjera,De 15-19 años,,,18204
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,extranjera,De 20-24 años,,,35829
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,extranjera,De 25-29 años,,,54620
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,extranjera,De 30-34 años,,,62259
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,extranjera,De 35-39 años,,,61064
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,extranjera,De 40-44 años,,,53315
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,extranjera,De 45-49 años,,,41483
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,extranjera,De 5-9 años,,,21133
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,extranjera,De 50-54 años,,,32986
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,extranjera,De 55-59 años,,,23316
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,extranjera,De 60-64 años,,,16539
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,extranjera,De 65-69 años,,,10536
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,extranjera,De 70-74 años,,,6206
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,extranjera,De 75-79 años,,,3366
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,extranjera,De 80-84 años,,,2027
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,extranjera,De 85-89 años,,,998
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,extranjera,De 90-94 años,,,416
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,extranjera,De 95-99 años,,,96
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,extranjera,Total,,,484876
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,,De 0-4 años,,,141466
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,,De 10-14 años,,,176037
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,,De 100 y más años,,,1585
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,,De 15-19 años,,,167784
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,,De 20-24 años,,,170751
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,,De 25-29 años,,,197072
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,,De 30-34 años,,,217530
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,,De 35-39 años,,,249792
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,,De 40-44 años,,,292919
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,,De 45-49 años,,,295049
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,,De 5-9 años,,,164855
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,,De 50-54 años,,,268103
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,,De 55-59 años,,,244062
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,,De 60-64 años,,,211634
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,,De 65-69 años,,,177183
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,,De 70-74 años,,,163009
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,,De 75-79 años,,,132401
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,,De 80-84 años,,,101114
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,,De 85-89 años,,,80026
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,,De 90-94 años,,,41134
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,,De 95-99 años,,,11733
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,,Total,,,3505239
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,espanola,De 0-4 años,,,245500
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,espanola,De 10-14 años,,,324044
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,espanola,De 100 y más años,,,1847
